     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
       142    1.0041784597E-10    2.0853158644E-09    3.3807902726E-07   -4.7388833442E-01
       143    9.8562972217E-11    2.0548506785E-09    3.3280645819E-07   -4.7388833428E-01
       144    9.6756600215E-11    2.0247983845E-09    3.2761611478E-07   -4.7388833415E-01
       145    9.4970138240E-11    1.9951543195E-09    3.2250671607E-07   -4.7388833401E-01
       146    9.3227663537E-11    1.9659140982E-09    3.1747700127E-07   -4.7388833388E-01
       147    9.1529754884E-11    1.9370730575E-09    3.1252572888E-07   -4.7388833376E-01
       148    8.9853955622E-11    1.9086265346E-09    3.0765167651E-07   -4.7388833363E-01
       149    8.8218786708E-11    1.8805700885E-09    3.0285364107E-07   -4.7388833350E-01
       150    8.6612209520E-11    1.8528988899E-09    2.9813043775E-07   -4.7388833338E-01
       151    8.5044873608E-11    1.8256093859E-09    2.9348090027E-07   -4.7388833326E-01
       152    8.3502540987E-11    1.7986958589E-09    2.8890388046E-07   -4.7388833314E-01
       153    8.1998523593E-11    1.7721549783E-09    2.8439824784E-07   -4.7388833303E-01
       154    8.0511753840E-11    1.7459819701E-09    2.7996288961E-07   -4.7388833291E-01
       155    7.9063762339E-11    1.7201716163E-09    2.7559671022E-07   -4.7388833280E-01
       156    7.7644246808E-11    1.6947215853E-09    2.7129863100E-07   -4.7388833269E-01
       157    7.6251470907E-11    1.6696256044E-09    2.6706759034E-07   -4.7388833258E-01
       158    7.4881267422E-11    1.6448802875E-09    2.6290254274E-07   -4.7388833247E-01
       159    7.3553777892E-11    1.6204816933E-09    2.5880245934E-07   -4.7388833236E-01
       160    7.2230108309E-11    1.5964244926E-09    2.5476632692E-07   -4.7388833226E-01
       161    7.0951120532E-11    1.5727061875E-09    2.5079314841E-07   -4.7388833216E-01
       162    6.9682666549E-11    1.5493210048E-09    2.4688194187E-07   -4.7388833206E-01
       163    6.8452759307E-11    1.5262658359E-09    2.4303174089E-07   -4.7388833196E-01
       164    6.7232228298E-11    1.5035357959E-09    2.3924159400E-07   -4.7388833186E-01
       165    6.6046539838E-11    1.4811278870E-09    2.3551056467E-07   -4.7388833176E-01
       166    6.4883308037E-11    1.4590373909E-09    2.3183773068E-07   -4.7388833167E-01
