 istep =  100001
     ik     ic     iv              Real              Imag               Abs
    178      1      1  -1.841942437E-02  -6.027658477E-04   1.842928433E-02
    179      1      1  -1.621528097E-02  -3.874246357E-04   1.621990859E-02
    180      1      1  -1.435912491E-02  -2.487205418E-04   1.436127884E-02
    181      1      1  -1.279524021E-02  -2.210874610E-04   1.279715014E-02
    182      1      1  -1.148642608E-02  -1.560213068E-04   1.148748566E-02
    183      1      1  -1.038689670E-02  -2.080361556E-04   1.038897984E-02
    184      1      1  -9.461167879E-03  -1.634768207E-04   9.462580108E-03
    185      1      1  -8.672672979E-03  -1.636399449E-04   8.674216658E-03
    186      1      1  -7.949197833E-03  -1.663706545E-04   7.950938648E-03
    187      1      1  -7.448973148E-03  -1.368741459E-04   7.450230566E-03
    188      1      1  -7.015097269E-03  -9.262496047E-05   7.015708736E-03
    189      1      1  -6.628546632E-03  -5.998551884E-05   6.628818048E-03
    190      1      1  -6.279229196E-03  -3.758144601E-05   6.279341658E-03
    191      1      1  -5.955086433E-03   7.165470034E-05   5.955517511E-03
    192      1      1  -5.647139130E-03   8.808633300E-05   5.647826091E-03
    193      1      1  -5.333644797E-03   1.001207562E-04   5.334584425E-03
    194      1      1  -4.989227066E-03   1.104061319E-04   4.990448500E-03
    195      1      1  -5.112903736E-03  -6.144448495E-04   5.149691941E-03
    196      1      1  -5.495958179E-03  -6.021590757E-04   5.528847245E-03
    197      1      1  -5.833734254E-03  -6.599007090E-04   5.870938962E-03
    198      1      1  -6.169566890E-03  -7.052721083E-04   6.209747528E-03
    199      1      1  -6.517733888E-03  -7.329607701E-04   6.558817464E-03
    200      1      1  -6.880463969E-03  -7.880671659E-04   6.925448309E-03
    201      1      1  -7.261069567E-03  -9.082710018E-04   7.317655873E-03
    202      1      1  -7.660082016E-03  -9.168182517E-04   7.714752893E-03
    203      1      1  -8.098818790E-03  -9.514497662E-04   8.154515464E-03
    204      1      1  -8.696347699E-03  -9.861992495E-04   8.752088451E-03
    205      1      1  -9.371801036E-03  -1.046455453E-03   9.430043673E-03
    206      1      1  -1.014654829E-02  -1.111996341E-03   1.020730024E-02
    207      1      1  -1.104712901E-02  -1.143636309E-03   1.110616780E-02
    208      1      1  -1.207481308E-02  -1.375107430E-03   1.215286104E-02
    209      1      1  -1.328363347E-02  -1.575586091E-03   1.337674810E-02
    210      1      1  -1.470589486E-02  -1.749065639E-03   1.480954335E-02
    211      1      1  -1.641580280E-02  -1.851093965E-03   1.651984051E-02
    212      1      1  -1.855066147E-02  -2.188593906E-03   1.867931970E-02
    213      1      1  -2.117444673E-02  -2.436236214E-03   2.131413712E-02
    214      1      1  -2.460440611E-02  -2.836220000E-03   2.476733622E-02
    215      1      1  -2.884210689E-02  -3.115243309E-03   2.900985816E-02
    216      1      1  -3.399016822E-02  -3.764181976E-03   3.419796195E-02
    217      1      1  -4.017557730E-02  -4.396513987E-03   4.041542214E-02
    218      1      1  -4.746320249E-02  -4.953476150E-03   4.772098613E-02
    219      1      1  -5.568639919E-02  -5.986540771E-03   5.600726493E-02
    220      1      1  -6.457078145E-02  -6.666594495E-03   6.491401466E-02
    221      1      1  -7.348212724E-02  -7.548458823E-03   7.386881788E-02
    222      1      1  -8.181270699E-02  -8.231267552E-03   8.222574287E-02
    223      1      1  -8.834437237E-02  -8.716570054E-03   8.877334467E-02
    224      1      1  -9.159458532E-02  -8.839932858E-03   9.202017428E-02
    225      1      1  -9.170536652E-02  -8.954078221E-03   9.214146605E-02
    226      1      1  -8.800805735E-02  -9.081547264E-03   8.847537883E-02
    227      1      1  -7.855246831E-02  -1.138234601E-02   7.937284220E-02
    228      1      1  -5.297956078E-02  -1.593556394E-02   5.532428091E-02
    229      1      1  -3.896978547E-03  -1.800815579E-02   1.842498621E-02
    230      1      1   3.300515083E-02  -1.211195951E-02   3.515735406E-02
    231      1      1   4.491201076E-02  -8.021680013E-03   4.562275815E-02
    232      1      1   4.693093394E-02  -7.261686625E-03   4.748941623E-02
    233      1      1   4.376939535E-02  -5.599582791E-03   4.412612941E-02
    234      1      1   3.727146318E-02  -6.443800902E-03   3.782439078E-02
    235      1      1   3.403024304E-02  -7.186711898E-03   3.478083192E-02
    236      1      1   2.959128023E-02  -7.249411926E-03   3.046633944E-02
    237      1      1   2.565057927E-02  -8.592831600E-03   2.705159833E-02
    238      1      1   2.244451513E-02  -9.624207607E-03   2.442092610E-02
    239      1      1   1.973330444E-02  -9.425177393E-03   2.186863674E-02
    240      1      1   1.678363706E-02  -9.388998130E-03   1.923132233E-02
    241      1      1   1.349475293E-02  -8.701814211E-03   1.605708339E-02
    242      1      1   9.915978148E-03  -7.040069413E-03   1.216097035E-02
    243      1      1   8.547807491E-03   1.845827983E-03   8.744832408E-03
    244      1      1   1.006345365E-02   7.801766516E-03   1.273344652E-02
    245      1      1   1.260849145E-02   1.045878054E-02   1.638170159E-02
    246      1      1   1.497242159E-02   1.011660852E-02   1.806984162E-02
    247      1      1   1.695946670E-02   9.199286336E-03   1.929379122E-02
    248      1      1   1.934607439E-02   8.109124674E-03   2.097685623E-02
    249      1      1   2.196796680E-02   7.896477258E-03   2.334407673E-02
    250      1      1   2.491830625E-02   7.943431018E-03   2.615377760E-02
    251      1      1   2.829638959E-02   8.079082024E-03   2.942715124E-02
    252      1      1   3.250988390E-02   7.858250413E-03   3.344614553E-02
